8	8
16	8
24	8
32	8
40	8
48	8
56	8
64	8
72	8
80	8
88	8
96	8
104	8
112	8
120	8
128	8
136	8
144	8
152	8
160	8
168	8
176	8
184	8
192	8
200	8
208	8
216	8
224	8
232	8
240	8
248	8
256	8
264	8
272	8
280	8
288	8
296	8
304	8
304	16
304	24
304	32
304	40
304	48
304	56
304	64
304	72
304	80
304	88
304	96
304	104
304	112
304	120
304	128
304	136
304	144
304	152
304	160
304	168
304	176
304	184
304	192
304	200
304	208
304	216
304	224
304	232
304	240
304	248
304	256
304	264
304	272
304	280
304	288
304	296
304	304
304	312
296	312
288	312
280	312
272	312
264	312
256	312
248	312
240	312
232	312
224	312
216	312
208	312
200	312
192	312
184	312
176	312
168	312
160	312
152	312
144	312
136	312
128	312
120	312
112	312
104	312
96	312
88	312
80	312
72	312
64	312
56	312
48	312
40	312
32	312
24	312
16	312
8	312
8	320
8	304
8	296
8	288
8	280
8	272
8	264
8	256
8	248
8	240
8	232
8	224
8	216
8	208
8	200
8	192
8	184
8	176
8	168
8	160
8	152
8	144
8	136
8	128
8	120
8	112
8	104
8	96
8	88
8	80
8	72
8	64
8	56
8	48
8	40
8	32
8	24
8	16
